CSG518-1,CSG518-2,CSG518-3,CSG518-4,CSG518-5,CSG518-6,CSG518-7,CSG518-8,grid
-80,-91,-72,-93,-74,-79,-76,-95,A00
-76,-87,-70,-88,-75,-82,-79,-93,A00
-76,-87,-70,-88,-75,-82,-79,-93,A00
-83,-83,-76,-87,-70,-85,-85,-88,A00
-86,-83,-69,-85,-71,-85,-79,-88,A00
-75,-83,-64,-90,-68,-81,-75,-88,A00
-75,-83,-64,-90,-68,-81,-75,-88,A00
-81,-84,-72,-85,-68,-82,-76,-90,A00
-79,-86,-71,-85,-76,-79,-70,-92,A00
-74,-87,-76,-83,-76,-76,-67,-94,A00
-74,-87,-76,-83,-76,-76,-67,-94,A00
-71,-83,-72,-88,-71,-84,-72,-90,A00
-67,-79,-69,-96,-70,-78,-63,-95,A00
-71,-82,-68,-90,-69,-73,-68,-91,A00
-71,-82,-68,-90,-69,-73,-68,-91,A00
-66,-81,-70,-86,-68,-72,-66,-91,A00
-66,-81,-71,-87,-68,-73,-64,-95,A00
-64,-81,-71,-86,-70,-71,-65,-91,A00
-67,-80,-71,-88,-68,-70,-68,-93,A00
-67,-80,-71,-88,-68,-70,-68,-93,A00
-66,-82,-71,-87,-65,-71,-64,-93,A00
-66,-81,-71,-89,-68,-70,-61,-94,A00
-66,-80,-71,-89,-69,-68,-68,-92,A00
-65,-81,-70,-90,-68,-70,-66,-88,A00
-65,-81,-70,-90,-68,-70,-66,-88,A00
-66,-80,-69,-86,-66,-72,-66,-90,A00
-65,-81,-70,-87,-69,-73,-66,-93,A00
-67,-80,-70,-87,-68,-74,-66,-94,A00
-67,-80,-70,-87,-68,-74,-66,-94,A00
-66,-80,-69,-89,-67,-73,-63,-96,A00
-65,-79,-70,-88,-71,-69,-64,-90,A00
-65,-79,-70,-88,-71,-69,-64,-90,A00
-60,-80,-63,-82,-62,-76,-66,-85,A00
-67,-81,-65,-83,-66,-77,-65,-88,A00
-67,-81,-65,-83,-66,-77,-65,-88,A00
-71,-79,-64,-84,-70,-71,-73,-91,A00
-71,-81,-70,-85,-69,-70,-78,-96,A00
-71,-82,-70,-91,-67,-70,-75,-94,A00
-71,-82,-70,-91,-67,-70,-75,-94,A00
-68,-89,-71,-88,-76,-76,-77,-89,A00
-68,-87,-75,-92,-73,-77,-75,-93,A00
-67,-89,-76,-91,-72,-79,-76,-93,A00
-67,-89,-75,-94,-73,-80,-76,-94,A00
-67,-89,-75,-94,-73,-80,-76,-94,A00
-68,-89,-75,-89,-73,-79,-76,-93,A00
-67,-87,-74,-92,-75,-77,-76,-93,A00
-67,-87,-75,-88,-74,-79,-76,-91,A00
-68,-87,-74,-95,-70,-78,-76,-94,A00
-68,-87,-74,-95,-70,-78,-76,-94,A00
-68,-88,-74,-91,-72,-79,-76,-93,A00
-68,-89,-76,-91,-74,-78,-76,-92,A00
-68,-89,-72,-93,-75,-79,-76,-96,A00
-67,-87,-75,-96,-72,-78,-76,-93,A00
-67,-87,-75,-96,-72,-78,-76,-93,A00
-70,-86,-77,-88,-78,-78,-75,-93,A00
-68,-89,-77,-93,-71,-81,-78,-93,A00
-77,-83,-68,-81,-73,-70,-63,-85,A01
-84,-83,-68,-82,-80,-71,-64,-84,A01
-78,-84,-69,-83,-80,-71,-65,-83,A01
-78,-84,-69,-83,-80,-71,-65,-83,A01
-79,-81,-70,-82,-79,-71,-64,-83,A01
-76,-83,-68,-82,-76,-71,-64,-83,A01
-85,-85,-68,-81,-73,-70,-65,-84,A01
-85,-85,-68,-81,-73,-70,-65,-84,A01
-82,-86,-70,-86,-76,-69,-66,-81,A01
-80,-75,-70,-84,-75,-73,-61,-86,A01
-75,-79,-68,-90,-78,-73,-60,-86,A01
-75,-79,-68,-90,-78,-73,-60,-86,A01
-70,-71,-68,-83,-70,-75,-58,-86,A01
-69,-75,-75,-83,-67,-73,-59,-85,A01
-70,-74,-71,-82,-68,-74,-58,-83,A01
-69,-73,-70,-81,-70,-72,-57,-84,A01
-69,-73,-70,-81,-70,-72,-57,-84,A01
-66,-73,-69,-91,-69,-75,-57,-85,A01
-72,-74,-73,-84,-74,-79,-59,-83,A01
-75,-80,-65,-89,-71,-73,-72,-85,A01
-75,-80,-65,-89,-71,-73,-72,-85,A01
-69,-86,-73,-88,-67,-67,-66,-88,A01
-67,-87,-71,-89,-71,-66,-64,-91,A01
-69,-87,-69,-89,-67,-69,-69,-87,A01
-69,-83,-71,-94,-65,-67,-66,-91,A01
-69,-83,-71,-94,-65,-67,-66,-91,A01
-74,-84,-70,-92,-62,-67,-70,-92,A01
-76,-87,-67,-88,-77,-71,-62,-82,A01
-77,-89,-65,-94,-75,-72,-64,-83,A01
-74,-89,-69,-87,-73,-68,-67,-82,A01
-74,-89,-69,-87,-73,-68,-67,-82,A01
-74,-76,-67,-84,-64,-70,-61,-90,A01
-76,-78,-71,-84,-69,-70,-62,-88,A01
-74,-77,-74,-84,-69,-73,-61,-93,A01
-74,-77,-72,-83,-68,-71,-61,-97,A01
-74,-77,-72,-83,-68,-71,-61,-97,A01
-77,-79,-69,-86,-74,-74,-63,-86,A01
-76,-75,-73,-86,-66,-72,-71,-86,A01
-69,-73,-68,-93,-61,-67,-62,-84,A01
-69,-73,-68,-93,-61,-67,-62,-84,A01
-78,-81,-68,-82,-72,-67,-69,-85,A01
-73,-89,-69,-82,-66,-65,-72,-92,A01
-68,-87,-65,-95,-70,-68,-70,-91,A01
-68,-80,-67,-87,-68,-66,-66,-91,A01
-68,-80,-67,-87,-68,-66,-66,-91,A01
-73,-82,-74,-84,-64,-69,-68,-87,A01
-74,-81,-68,-86,-71,-65,-68,-91,A01
-70,-84,-73,-88,-68,-71,-69,-88,A01
-70,-84,-73,-88,-68,-71,-69,-88,A01
-72,-82,-73,-83,-69,-67,-69,-88,A01
-72,-83,-72,-82,-70,-70,-67,-86,A01
-70,-81,-74,-84,-76,-71,-71,-91,A01
-80,-79,-69,-90,-75,-71,-73,-89,A01
-77,-80,-72,-85,-71,-80,-74,-84,A01
-77,-80,-72,-85,-71,-80,-74,-84,A01
-74,-80,-66,-94,-68,-81,-65,-83,A01
-70,-82,-65,-80,-71,-69,-59,-84,A01
-72,-85,-69,-78,-70,-69,-60,-92,A01
-75,-78,-68,-87,-68,-75,-68,-87,A01
-75,-78,-68,-87,-68,-75,-68,-87,A01
-73,-77,-62,-79,-67,-65,-67,-86,A01
-80,-87,-64,-78,-69,-68,-67,-82,A01
-73,-87,-61,-83,-73,-71,-65,-83,A01
-73,-87,-61,-83,-73,-71,-65,-83,A01
-83,-87,-69,-80,-64,-65,-67,-88,A01
-79,-90,-68,-78,-64,-67,-66,-89,A01
-78,-92,-67,-78,-66,-66,-66,-83,A01
-83,-90,-66,-79,-66,-67,-66,-85,A01
-83,-90,-66,-79,-66,-67,-66,-85,A01
-78,-88,-66,-80,-68,-69,-66,-84,A01
-83,-90,-66,-79,-65,-68,-66,-85,A01
-80,-86,-69,-80,-65,-69,-65,-85,A01
-65,-85,-69,-91,-74,-65,-64,-90,A01
-65,-85,-69,-91,-74,-65,-64,-90,A01
-68,-89,-63,-92,-75,-65,-62,-91,A01
-70,-89,-60,-93,-71,-67,-67,-89,A01
-71,-85,-70,-82,-67,-67,-66,-97,A01
-67,-76,-65,-91,-78,-74,-61,-82,A01
-68,-79,-65,-95,-75,-73,-66,-86,A01
-68,-79,-65,-95,-75,-73,-66,-86,A01
-67,-79,-64,-95,-77,-74,-62,-83,A01
-66,-81,-65,-92,-78,-71,-61,-84,A01
-67,-79,-65,-84,-72,-70,-75,-90,A01
-81,-85,-67,-86,-71,-74,-69,-80,A01
-81,-85,-67,-86,-71,-74,-69,-80,A01
-76,-82,-69,-83,-76,-79,-70,-82,A01
-75,-84,-69,-86,-78,-74,-68,-82,A01
-82,-84,-76,-86,-78,-77,-68,-82,A01
-73,-81,-69,-84,-76,-75,-69,-92,A01
-73,-81,-69,-84,-76,-75,-69,-92,A01
-76,-77,-68,-86,-68,-76,-65,-92,A01
-65,-82,-69,-85,-70,-74,-66,-88,A01
-72,-81,-67,-89,-65,-66,-66,-91,A01
-67,-78,-61,-92,-70,-62,-66,-90,A01
-71,-92,-70,-87,-64,-60,-64,-90,A01
-71,-92,-70,-87,-64,-60,-64,-90,A01
-72,-85,-74,-88,-69,-63,-69,-90,A01
-83,-79,-62,-78,-66,-89,-73,-88,A01
-88,-80,-76,-82,-70,-72,-73,-95,A01
-88,-80,-76,-82,-70,-72,-73,-95,A01
-76,-77,-63,-80,-66,-69,-73,-81,A01
-69,-86,-70,-86,-74,-70,-65,-83,A01
-67,-87,-79,-83,-63,-72,-66,-79,A01
-67,-87,-79,-83,-63,-72,-66,-79,A01
-78,-81,-69,-91,-73,-74,-66,-81,A01
-74,-84,-63,-83,-64,-72,-80,-90,A01
-74,-85,-63,-84,-66,-69,-78,-87,A01
-75,-89,-63,-83,-64,-73,-76,-88,A01
-75,-89,-63,-83,-64,-73,-76,-88,A01
-78,-93,-59,-83,-65,-67,-70,-85,A01
-86,-89,-67,-85,-74,-81,-70,-88,A01
-82,-96,-68,-84,-77,-84,-70,-87,A01
-82,-96,-68,-84,-77,-84,-70,-87,A01
-86,-94,-67,-85,-72,-82,-71,-87,A01
-86,-93,-67,-86,-71,-85,-72,-88,A01
-85,-89,-67,-83,-79,-79,-71,-88,A01
-85,-89,-67,-83,-79,-79,-71,-88,A01
-86,-87,-69,-86,-74,-79,-70,-87,A01
-82,-89,-68,-83,-74,-76,-78,-87,A01
-78,-85,-74,-84,-77,-78,-74,-90,A01
-78,-85,-74,-84,-77,-78,-74,-90,A01
-79,-84,-68,-80,-74,-74,-71,-89,A01
-68,-84,-75,-81,-79,-66,-69,-93,A01
-71,-88,-75,-84,-79,-67,-66,-97,A01
-68,-86,-73,-84,-79,-67,-67,-93,A01
-68,-86,-73,-84,-79,-67,-67,-93,A01
-71,-88,-72,-85,-84,-66,-66,-95,A01
-69,-83,-62,-89,-70,-66,-65,-93,A01
-74,-80,-64,-84,-68,-69,-70,-89,A01
-74,-80,-64,-84,-68,-69,-70,-89,A01
-80,-80,-68,-93,-66,-72,-75,-85,A01
-75,-79,-70,-89,-68,-75,-74,-88,A01
-69,-81,-78,-88,-72,-72,-75,-89,A01
-69,-81,-78,-88,-72,-72,-75,-89,A01
-68,-75,-65,-87,-61,-69,-79,-86,A01
-64,-76,-62,-90,-65,-69,-79,-88,A01
-64,-77,-62,-91,-73,-70,-79,-86,A01
-64,-77,-62,-91,-73,-70,-79,-86,A01
-64,-76,-64,-88,-64,-68,-80,-89,A01
-64,-76,-64,-88,-64,-68,-80,-89,A01
-64,-75,-65,-92,-64,-69,-81,-85,A01
-64,-77,-65,-91,-73,-69,-80,-88,A01
-64,-76,-64,-89,-63,-68,-81,-88,A01
-64,-76,-64,-89,-63,-68,-81,-88,A01
-63,-76,-64,-90,-63,-70,-81,-86,A01
-72,-85,-75,-91,-73,-78,-68,-85,A01
-84,-75,-65,-90,-62,-80,-62,-84,A01
-84,-75,-65,-90,-62,-80,-62,-84,A01
-81,-81,-73,-92,-65,-71,-69,-92,A01
-72,-78,-59,-83,-73,-71,-68,-84,A01
-75,-80,-61,-87,-66,-69,-69,-93,A01
-76,-78,-61,-86,-67,-66,-71,-89,A01
-76,-78,-61,-86,-67,-66,-71,-89,A01
-75,-80,-63,-86,-68,-69,-74,-90,A01
-73,-81,-63,-81,-66,-71,-74,-90,A01
-79,-83,-64,-90,-69,-71,-74,-94,A01
-83,-80,-64,-89,-70,-73,-75,-87,A01
-83,-80,-64,-89,-70,-73,-75,-87,A01
-84,-80,-63,-89,-71,-70,-75,-91,A01
-78,-82,-64,-95,-72,-68,-72,-89,A01
-72,-79,-67,-88,-77,-67,-72,-87,A01
-74,-77,-66,-86,-83,-70,-83,-88,A01
-74,-77,-66,-86,-83,-70,-83,-88,A01
-81,-79,-64,-87,-70,-68,-74,-91,A01
-79,-93,-73,-88,-69,-73,-67,-87,A01
-81,-84,-71,-88,-74,-74,-64,-82,A01
-81,-84,-71,-88,-74,-74,-64,-82,A01
-71,-77,-75,-85,-73,-85,-69,-84,A01
-70,-76,-71,-88,-61,-78,-75,-87,A01
-73,-75,-72,-86,-61,-77,-74,-88,A01
-73,-76,-71,-85,-62,-77,-73,-87,A01
-73,-76,-71,-85,-62,-77,-73,-87,A01
-79,-74,-71,-86,-60,-78,-73,-87,A01
-69,-75,-72,-85,-61,-80,-73,-87,A01
-76,-75,-71,-86,-64,-77,-73,-87,A01
-76,-75,-71,-86,-64,-77,-73,-87,A01
-73,-75,-71,-87,-62,-75,-74,-86,A01
-74,-76,-71,-87,-60,-87,-74,-88,A01
-73,-76,-71,-87,-62,-78,-75,-85,A01
-73,-76,-71,-87,-62,-78,-75,-85,A01
-73,-75,-70,-84,-61,-78,-74,-86,A01
-74,-75,-63,-85,-62,-79,-71,-86,A01
-82,-85,-77,-90,-70,-80,-68,-85,A01
-82,-85,-77,-90,-70,-80,-68,-85,A01
-78,-82,-68,-80,-63,-73,-65,-90,A01
-78,-82,-68,-80,-63,-73,-65,-90,A01
-79,-80,-64,-85,-63,-73,-69,-92,A01
-77,-81,-74,-94,-89,-74,-64,-87,A01
-72,-80,-67,-94,-76,-69,-64,-88,A01
-73,-80,-65,-88,-73,-72,-67,-91,A01
-73,-79,-65,-91,-68,-72,-67,-87,A01
-73,-79,-65,-91,-68,-72,-67,-87,A01
-73,-79,-65,-96,-69,-71,-65,-87,A01
-72,-81,-65,-92,-83,-71,-68,-88,A01
-72,-79,-66,-96,-76,-74,-67,-88,A01
-72,-79,-66,-96,-76,-74,-67,-88,A01
-75,-80,-65,-92,-79,-70,-69,-88,A01
-78,-84,-71,-88,-73,-70,-65,-92,A01
-72,-80,-67,-83,-66,-70,-63,-93,A01
-72,-80,-67,-83,-66,-70,-63,-93,A01
-71,-84,-79,-91,-74,-67,-63,-92,A01
-76,-83,-69,-90,-70,-70,-65,-88,A01
-81,-81,-67,-83,-63,-71,-68,-97,A01
-67,-79,-68,-92,-63,-75,-72,-80,A01
-77,-83,-68,-83,-64,-74,-62,-87,A01
-77,-83,-68,-83,-64,-74,-62,-87,A01
-76,-83,-63,-88,-62,-75,-67,-89,A01
-77,-79,-63,-90,-63,-75,-62,-86,A01
-73,-80,-63,-90,-61,-77,-63,-86,A01
-73,-80,-63,-90,-61,-77,-63,-86,A01
-72,-79,-64,-88,-62,-75,-63,-87,A01
-74,-79,-63,-88,-63,-77,-62,-84,A01
-76,-82,-62,-89,-62,-75,-63,-83,A01
-76,-82,-62,-89,-62,-75,-63,-83,A01
-72,-79,-79,-89,-70,-73,-71,-81,A01
-89,-88,-74,-82,-70,-73,-72,-84,A01
-74,-87,-71,-89,-60,-72,-65,-83,A01
-76,-86,-73,-92,-61,-73,-64,-80,A01
-76,-86,-73,-92,-61,-73,-64,-80,A01
-73,-81,-61,-84,-63,-80,-58,-84,A02
-72,-77,-61,-86,-64,-80,-58,-84,A02
-72,-77,-61,-86,-64,-80,-58,-84,A02
-72,-79,-61,-87,-64,-79,-57,-85,A02
-74,-78,-61,-88,-64,-80,-58,-84,A02
-72,-80,-63,-82,-67,-85,-58,-84,A02
-72,-80,-63,-82,-67,-85,-58,-84,A02
-71,-80,-61,-86,-64,-82,-56,-83,A02
-64,-83,-63,-81,-74,-84,-67,-87,A02
-64,-83,-63,-81,-74,-84,-67,-87,A02
-69,-82,-59,-79,-79,-70,-60,-86,A02
-64,-78,-71,-83,-63,-81,-60,-86,A02
-64,-78,-71,-83,-63,-81,-60,-86,A02
-71,-83,-59,-87,-70,-79,-63,-89,A02
-66,-85,-60,-82,-73,-73,-62,-84,A02
-66,-85,-60,-82,-73,-73,-62,-84,A02
-72,-78,-65,-82,-81,-73,-59,-85,A02
-75,-79,-64,-82,-79,-73,-60,-88,A02
-75,-79,-64,-82,-79,-73,-60,-88,A02
-74,-79,-67,-83,-80,-72,-59,-90,A02
-75,-76,-65,-83,-79,-71,-60,-86,A02
-75,-76,-65,-83,-79,-71,-60,-86,A02
-75,-78,-66,-83,-79,-72,-60,-91,A02
-81,-86,-71,-86,-73,-80,-64,-93,A02
-81,-86,-71,-86,-73,-80,-64,-93,A02
-68,-78,-62,-81,-71,-78,-68,-87,A02
-63,-74,-65,-83,-71,-77,-65,-89,A02
-63,-74,-65,-83,-71,-77,-65,-89,A02
-79,-85,-65,-79,-73,-70,-63,-87,A02
-64,-80,-64,-93,-62,-87,-70,-85,A02
-64,-80,-64,-93,-62,-87,-70,-85,A02
-68,-77,-58,-84,-73,-66,-66,-85,A02
-69,-74,-60,-82,-70,-66,-68,-90,A02
-69,-74,-60,-82,-70,-66,-68,-90,A02
-69,-74,-61,-82,-69,-65,-65,-87,A02
-69,-74,-60,-83,-68,-64,-64,-89,A02
-67,-73,-61,-81,-65,-67,-67,-88,A02
-67,-73,-61,-81,-65,-67,-67,-88,A02
-64,-75,-63,-88,-71,-76,-62,-87,A02
-73,-74,-59,-88,-64,-71,-71,-82,A02
-73,-74,-59,-88,-64,-71,-71,-82,A02
-72,-75,-59,-86,-63,-68,-69,-82,A02
-70,-93,-68,-89,-82,-74,-63,-81,A02
-65,-83,-64,-80,-60,-74,-64,-87,A02
-65,-83,-64,-80,-60,-74,-64,-87,A02
-69,-87,-69,-82,-71,-75,-63,-88,A02
-70,-86,-71,-80,-70,-73,-62,-87,A02
-70,-86,-71,-80,-70,-73,-62,-87,A02
-68,-86,-70,-81,-70,-73,-62,-88,A02
-66,-86,-68,-80,-70,-79,-63,-86,A02
-66,-86,-68,-80,-70,-79,-63,-86,A02
-74,-86,-72,-79,-74,-71,-72,-90,A02
-73,-83,-79,-79,-70,-70,-73,-90,A02
-73,-83,-79,-79,-70,-70,-73,-90,A02
-76,-83,-77,-81,-75,-72,-71,-89,A02
-71,-88,-76,-81,-75,-72,-68,-89,A02
-76,-80,-61,-84,-83,-79,-65,-83,A02
-76,-80,-61,-84,-83,-79,-65,-83,A02
-83,-83,-70,-88,-74,-78,-60,-90,A02
-80,-80,-70,-88,-78,-77,-60,-89,A02
-80,-80,-70,-88,-78,-77,-60,-89,A02
-79,-79,-70,-89,-77,-80,-60,-90,A02
-81,-81,-73,-86,-74,-77,-61,-86,A02
-81,-81,-73,-86,-74,-77,-61,-86,A02
-83,-79,-70,-90,-71,-86,-60,-85,A02
-83,-78,-73,-88,-72,-81,-59,-88,A02
-83,-78,-73,-88,-72,-81,-59,-88,A02
-83,-80,-71,-90,-77,-78,-60,-88,A02
-80,-81,-71,-89,-78,-77,-60,-89,A02
-84,-80,-69,-93,-77,-74,-59,-87,A02
-84,-80,-69,-93,-77,-74,-59,-87,A02
-78,-84,-80,-81,-77,-79,-62,-81,A02
-78,-86,-71,-81,-81,-80,-63,-84,A02
-65,-85,-67,-84,-66,-75,-61,-86,A02
-65,-79,-70,-84,-62,-71,-62,-77,A02
-65,-79,-70,-84,-62,-71,-62,-77,A02
-73,-77,-70,-91,-70,-83,-68,-83,A02
-74,-79,-68,-81,-67,-70,-62,-90,A02
-74,-79,-68,-81,-67,-70,-62,-90,A02
-73,-80,-65,-92,-65,-70,-63,-88,A02
-70,-85,-76,-83,-64,-71,-73,-90,A02
-70,-85,-76,-83,-64,-71,-73,-90,A02
-65,-76,-72,-92,-69,-80,-64,-92,A02
-65,-81,-65,-83,-65,-74,-60,-93,A02
-75,-85,-66,-81,-68,-67,-66,-88,A02
