Grid,CSG518-1,CSG518-2,CSG518-3,CSG518-4,CSG518-5,CSG518-6,CSG518-7,CSG518-8
A9,-73 dBm,-74 dBm,-77 dBm,-94 dBm,-77 dBm,-90 dBm,-78 dBm,-91 dBm
A9,-73 dBm,-76 dBm,-78 dBm,-91 dBm,-77 dBm,-88 dBm,-82 dBm,-93 dBm
A9,-74 dBm,-75 dBm,-79 dBm,-94 dBm,-78 dBm,-88 dBm,-84 dBm,-93 dBm
A9,-74 dBm,-76 dBm,-78 dBm,-92 dBm,-78 dBm,-92 dBm,-82 dBm,-92 dBm
A9,-70 dBm,-77 dBm,-78 dBm,-92 dBm,-77 dBm,-93 dBm,-84 dBm,-93 dBm
A9,-72 dBm,-74 dBm,-80 dBm,-92 dBm,-78 dBm,-89 dBm,-85 dBm,-92 dBm
A9,-72 dBm,-77 dBm,-79 dBm,-95 dBm,-75 dBm,-91 dBm,-84 dBm,-92 dBm
A9,-74 dBm,-75 dBm,-80 dBm,-93 dBm,-78 dBm,-90 dBm,-83 dBm,-93 dBm
A9,-73 dBm,-74 dBm,-81 dBm,-96 dBm,-78 dBm,-91 dBm,-86 dBm,-93 dBm
A9,-74 dBm,-74 dBm,-80 dBm,-94 dBm,-79 dBm,-90 dBm,-82 dBm,-93 dBm
A9,-74 dBm,-75 dBm,-79 dBm,-94 dBm,-79 dBm,-90 dBm,-85 dBm,-93 dBm
A9,-73 dBm,-76 dBm,-79 dBm,0,-78 dBm,-91 dBm,-83 dBm,-92 dBm
A9,-72 dBm,-75 dBm,-80 dBm,0,-78 dBm,-94 dBm,-82 dBm,-91 dBm
A9,-73 dBm,-76 dBm,-79 dBm,0,-78 dBm,-90 dBm,-84 dBm,-93 dBm
A9,-74 dBm,-75 dBm,-78 dBm,0,-77 dBm,-90 dBm,-83 dBm,-92 dBm
A9,-74 dBm,-75 dBm,-78 dBm,0,-79 dBm,-93 dBm,-83 dBm,-93 dBm
A9,-71 dBm,-75 dBm,-79 dBm,0,-79 dBm,-88 dBm,-83 dBm,-94 dBm
A9,-74 dBm,-75 dBm,-80 dBm,0,-78 dBm,-90 dBm,-84 dBm,-94 dBm
A9,-74 dBm,-74 dBm,-79 dBm,0,-79 dBm,0,-83 dBm,-92 dBm
A9,-73 dBm,-76 dBm,-80 dBm,0,-80 dBm,0,-83 dBm,0
B1,-86 dBm,-86 dBm,-72 dBm,-94 dBm,-73 dBm,-78 dBm,-81 dBm,-90 dBm
B1,-79 dBm,-86 dBm,-68 dBm,-93 dBm,-71 dBm,-83 dBm,-76 dBm,-92 dBm
B1,-80 dBm,-88 dBm,-70 dBm,-90 dBm,-72 dBm,-76 dBm,-78 dBm,-89 dBm
B1,-77 dBm,-86 dBm,-69 dBm,-94 dBm,-71 dBm,-83 dBm,-81 dBm,-93 dBm
B1,-76 dBm,-89 dBm,-72 dBm,-91 dBm,-70 dBm,-81 dBm,-85 dBm,-92 dBm
B1,-80 dBm,-88 dBm,-68 dBm,-90 dBm,-70 dBm,-82 dBm,-82 dBm,-91 dBm
B1,-76 dBm,-88 dBm,-72 dBm,-93 dBm,-71 dBm,-81 dBm,-83 dBm,-93 dBm
B1,-78 dBm,-86 dBm,-66 dBm,-93 dBm,-70 dBm,-79 dBm,-85 dBm,-93 dBm
B1,-77 dBm,-84 dBm,-69 dBm,-91 dBm,-70 dBm,-79 dBm,-77 dBm,-91 dBm
B1,-81 dBm,-88 dBm,-70 dBm,-93 dBm,-69 dBm,-78 dBm,-78 dBm,-93 dBm
B1,-79 dBm,-87 dBm,-73 dBm,-94 dBm,-69 dBm,-80 dBm,-78 dBm,-94 dBm
B1,-82 dBm,-86 dBm,-68 dBm,-94 dBm,-68 dBm,-76 dBm,-77 dBm,-92 dBm
B1,-82 dBm,-86 dBm,-68 dBm,-90 dBm,-73 dBm,-74 dBm,-83 dBm,-91 dBm
B1,-80 dBm,-89 dBm,-67 dBm,-91 dBm,-70 dBm,-81 dBm,-71 dBm,-94 dBm
B1,-78 dBm,-86 dBm,-68 dBm,-90 dBm,-71 dBm,-75 dBm,-76 dBm,-92 dBm
B1,-78 dBm,-85 dBm,-70 dBm,-92 dBm,-69 dBm,-76 dBm,-77 dBm,-93 dBm
B1,-77 dBm,-88 dBm,-65 dBm,-91 dBm,-71 dBm,-80 dBm,-77 dBm,-89 dBm
B1,-83 dBm,-91 dBm,-67 dBm,-92 dBm,-69 dBm,-76 dBm,-75 dBm,-90 dBm
B1,-84 dBm,-93 dBm,-69 dBm,-94 dBm,-70 dBm,-75 dBm,-82 dBm,-89 dBm
B1,-82 dBm,-93 dBm,-69 dBm,-93 dBm,-70 dBm,-75 dBm,-81 dBm,-89 dBm
B1,-80 dBm,-86 dBm,-69 dBm,-93 dBm,-68 dBm,-79 dBm,-84 dBm,-92 dBm
B1,-82 dBm,-88 dBm,-67 dBm,-92 dBm,-70 dBm,-79 dBm,-82 dBm,-91 dBm
B1,-81 dBm,-86 dBm,-69 dBm,-93 dBm,-70 dBm,-80 dBm,-80 dBm,-91 dBm
B1,-81 dBm,-85 dBm,-68 dBm,-92 dBm,-68 dBm,-79 dBm,-75 dBm,-91 dBm
B1,-82 dBm,-87 dBm,-69 dBm,-95 dBm,-65 dBm,-78 dBm,-85 dBm,-91 dBm
B1,-84 dBm,-88 dBm,-66 dBm,-93 dBm,-70 dBm,-79 dBm,-77 dBm,-92 dBm
B1,-80 dBm,-86 dBm,-68 dBm,-95 dBm,-71 dBm,-76 dBm,-78 dBm,-92 dBm
B1,-81 dBm,-85 dBm,-67 dBm,-94 dBm,-71 dBm,-76 dBm,-73 dBm,-93 dBm
B1,-77 dBm,-87 dBm,-68 dBm,-92 dBm,-70 dBm,-76 dBm,-75 dBm,-95 dBm
B1,-81 dBm,-84 dBm,-69 dBm,-93 dBm,-70 dBm,-77 dBm,-72 dBm,-92 dBm
B1,-81 dBm,-91 dBm,-69 dBm,-91 dBm,-69 dBm,-76 dBm,-76 dBm,-92 dBm
B1,-86 dBm,-90 dBm,-69 dBm,0,-70 dBm,-79 dBm,-87 dBm,0
B2,-79 dBm,-83 dBm,-76 dBm,-93 dBm,-67 dBm,-79 dBm,-75 dBm,0
B2,-79 dBm,-83 dBm,-77 dBm,-94 dBm,-69 dBm,-79 dBm,-79 dBm,0
B2,-79 dBm,-84 dBm,-76 dBm,-91 dBm,-69 dBm,-79 dBm,-80 dBm,0
B2,-79 dBm,-85 dBm,-85 dBm,-95 dBm,-70 dBm,-78 dBm,-75 dBm,0
B2,-77 dBm,-86 dBm,-81 dBm,-93 dBm,-68 dBm,-79 dBm,-77 dBm,0
B2,-76 dBm,-86 dBm,-80 dBm,-93 dBm,-71 dBm,-80 dBm,-77 dBm,0
B2,-75 dBm,-84 dBm,-81 dBm,-93 dBm,-70 dBm,-80 dBm,-80 dBm,0
B2,-77 dBm,-83 dBm,-81 dBm,-91 dBm,-69 dBm,-79 dBm,-78 dBm,0
B2,-76 dBm,-86 dBm,-79 dBm,-92 dBm,-69 dBm,-80 dBm,-79 dBm,0
B2,-78 dBm,-84 dBm,-78 dBm,-93 dBm,-68 dBm,-79 dBm,-78 dBm,0
B2,-78 dBm,-83 dBm,-80 dBm,-91 dBm,-69 dBm,-80 dBm,-78 dBm,0
B2,-77 dBm,-83 dBm,-81 dBm,-94 dBm,-68 dBm,-80 dBm,-77 dBm,0
B2,-78 dBm,-83 dBm,-79 dBm,-91 dBm,-68 dBm,-79 dBm,-79 dBm,0
B2,-78 dBm,-81 dBm,-78 dBm,-95 dBm,-69 dBm,-79 dBm,-79 dBm,0
B2,-75 dBm,-85 dBm,-75 dBm,-92 dBm,-68 dBm,-79 dBm,-77 dBm,0
B2,-79 dBm,-83 dBm,-77 dBm,-94 dBm,-69 dBm,-79 dBm,-78 dBm,0
B2,-78 dBm,-83 dBm,-77 dBm,-94 dBm,-68 dBm,-79 dBm,-76 dBm,0
B2,-78 dBm,-86 dBm,-78 dBm,-94 dBm,-68 dBm,-79 dBm,-75 dBm,0
B2,-78 dBm,-84 dBm,-76 dBm,-93 dBm,-69 dBm,-79 dBm,-76 dBm,0
B2,-75 dBm,-84 dBm,-75 dBm,-93 dBm,-70 dBm,-79 dBm,-77 dBm,0
B2,-75 dBm,-86 dBm,-80 dBm,-92 dBm,-68 dBm,-80 dBm,-73 dBm,0
B2,-80 dBm,-87 dBm,-77 dBm,-92 dBm,-71 dBm,-81 dBm,-74 dBm,0
B2,-77 dBm,-85 dBm,-75 dBm,-90 dBm,-68 dBm,-78 dBm,-76 dBm,0
B2,-76 dBm,-85 dBm,-75 dBm,-91 dBm,-68 dBm,-80 dBm,-77 dBm,0
B2,-77 dBm,-85 dBm,-76 dBm,-91 dBm,-71 dBm,-77 dBm,-75 dBm,0
B2,-76 dBm,-85 dBm,-75 dBm,-93 dBm,-69 dBm,-77 dBm,-78 dBm,0
B2,-77 dBm,-83 dBm,-77 dBm,-92 dBm,-67 dBm,-78 dBm,-76 dBm,0
B2,-73 dBm,-82 dBm,-77 dBm,-90 dBm,-68 dBm,-76 dBm,-78 dBm,0
B2,-78 dBm,-84 dBm,-76 dBm,-92 dBm,-69 dBm,-76 dBm,-79 dBm,0
B2,-77 dBm,-83 dBm,-78 dBm,-92 dBm,-69 dBm,-75 dBm,-78 dBm,0
B2,-76 dBm,-84 dBm,-78 dBm,-92 dBm,-69 dBm,-77 dBm,-78 dBm,0
B3,-74 dBm,-81 dBm,-62 dBm,-95 dBm,-69 dBm,-77 dBm,-71 dBm,-95 dBm
B3,-74 dBm,-82 dBm,-63 dBm,-92 dBm,-70 dBm,-78 dBm,-69 dBm,-95 dBm
B3,-75 dBm,-81 dBm,-63 dBm,0,-71 dBm,-77 dBm,-68 dBm,-94 dBm
B3,-76 dBm,-82 dBm,-63 dBm,0,-69 dBm,-78 dBm,-70 dBm,-93 dBm
B3,-75 dBm,-81 dBm,-63 dBm,0,-70 dBm,-76 dBm,-69 dBm,-95 dBm
B3,-75 dBm,-81 dBm,-64 dBm,0,-73 dBm,-78 dBm,-69 dBm,-93 dBm
B3,-75 dBm,-81 dBm,-64 dBm,0,-71 dBm,-77 dBm,-72 dBm,-95 dBm
B3,-77 dBm,-83 dBm,-63 dBm,0,-70 dBm,-77 dBm,-71 dBm,-93 dBm
B3,-74 dBm,-81 dBm,-65 dBm,0,-65 dBm,-76 dBm,-69 dBm,-95 dBm
B3,-77 dBm,-81 dBm,-63 dBm,0,-71 dBm,-77 dBm,-72 dBm,-91 dBm
B3,-74 dBm,-89 dBm,-62 dBm,0,-71 dBm,-77 dBm,-69 dBm,-97 dBm
B3,-77 dBm,-82 dBm,-62 dBm,0,-70 dBm,-76 dBm,-67 dBm,-97 dBm
B3,-76 dBm,-82 dBm,-62 dBm,0,-68 dBm,-77 dBm,-70 dBm,-92 dBm
B3,-74 dBm,-80 dBm,-63 dBm,0,-70 dBm,-78 dBm,-70 dBm,-91 dBm
B3,-76 dBm,-80 dBm,-64 dBm,0,-69 dBm,-77 dBm,-69 dBm,-96 dBm
B3,-75 dBm,-81 dBm,-65 dBm,0,-70 dBm,-77 dBm,-70 dBm,-95 dBm
B3,-75 dBm,-80 dBm,-64 dBm,0,-68 dBm,-79 dBm,-72 dBm,-94 dBm
B3,-75 dBm,-81 dBm,-63 dBm,0,-70 dBm,-77 dBm,-68 dBm,0
B3,-77 dBm,-80 dBm,-64 dBm,0,-68 dBm,-77 dBm,-69 dBm,0
B3,-73 dBm,-80 dBm,-65 dBm,0,-67 dBm,-78 dBm,-72 dBm,0
B3,-75 dBm,-83 dBm,-66 dBm,0,-70 dBm,-76 dBm,-72 dBm,0
B3,-73 dBm,-80 dBm,-65 dBm,0,-70 dBm,-76 dBm,-71 dBm,0
B3,-73 dBm,-82 dBm,-64 dBm,0,-71 dBm,-76 dBm,-72 dBm,0
B3,-77 dBm,-80 dBm,-65 dBm,0,-68 dBm,-78 dBm,-70 dBm,0
B3,-75 dBm,-81 dBm,-63 dBm,0,-70 dBm,-77 dBm,-71 dBm,0
B3,-77 dBm,-81 dBm,-66 dBm,0,-71 dBm,-77 dBm,-72 dBm,0
B3,-76 dBm,-82 dBm,-63 dBm,0,-70 dBm,-75 dBm,-69 dBm,0
B3,-76 dBm,-84 dBm,-64 dBm,0,-67 dBm,-76 dBm,-68 dBm,0
B3,-72 dBm,-91 dBm,-64 dBm,0,-69 dBm,-75 dBm,-70 dBm,0
B3,-77 dBm,-93 dBm,-65 dBm,0,-74 dBm,-74 dBm,-68 dBm,0
B3,-79 dBm,-77 dBm,-70 dBm,0,-72 dBm,-76 dBm,-72 dBm,0
B3,-76 dBm,-82 dBm,-62 dBm,0,-72 dBm,-76 dBm,-69 dBm,0
B3,-77 dBm,-82 dBm,-64 dBm,0,-72 dBm,-75 dBm,-70 dBm,0
B4,-72 dBm,-75 dBm,-80 dBm,-91 dBm,-67 dBm,-75 dBm,-59 dBm,-92 dBm
B4,-73 dBm,-77 dBm,-70 dBm,-89 dBm,-68 dBm,-77 dBm,-58 dBm,-91 dBm
B4,-73 dBm,-77 dBm,-67 dBm,-92 dBm,-68 dBm,-78 dBm,-59 dBm,-91 dBm
B4,-77 dBm,-82 dBm,-70 dBm,-93 dBm,-68 dBm,-76 dBm,-59 dBm,-90 dBm
B4,-73 dBm,-77 dBm,-72 dBm,-93 dBm,-69 dBm,-77 dBm,-59 dBm,-90 dBm
B4,-74 dBm,-78 dBm,-71 dBm,-92 dBm,-67 dBm,-81 dBm,-59 dBm,-90 dBm
B4,-72 dBm,-77 dBm,-72 dBm,-94 dBm,-68 dBm,-77 dBm,-58 dBm,-88 dBm
B4,-73 dBm,-77 dBm,-71 dBm,-90 dBm,-68 dBm,-76 dBm,-58 dBm,-90 dBm
B4,-71 dBm,-77 dBm,-72 dBm,-92 dBm,-67 dBm,-77 dBm,-58 dBm,-92 dBm
B4,-74 dBm,-78 dBm,-68 dBm,-90 dBm,-68 dBm,-77 dBm,-59 dBm,-90 dBm
B4,-74 dBm,-76 dBm,-69 dBm,-91 dBm,-67 dBm,-77 dBm,-61 dBm,-91 dBm
B4,-74 dBm,-77 dBm,-72 dBm,-92 dBm,-68 dBm,-76 dBm,-57 dBm,-91 dBm
B4,-73 dBm,-78 dBm,-71 dBm,-89 dBm,-68 dBm,-77 dBm,-60 dBm,-89 dBm
B4,-72 dBm,-78 dBm,-72 dBm,-89 dBm,-67 dBm,-76 dBm,-58 dBm,-90 dBm
B4,-72 dBm,-78 dBm,-74 dBm,-91 dBm,-69 dBm,-77 dBm,-58 dBm,-89 dBm
B4,-73 dBm,-78 dBm,-71 dBm,-91 dBm,-66 dBm,-77 dBm,-58 dBm,-90 dBm
B4,-73 dBm,-78 dBm,-75 dBm,-93 dBm,-68 dBm,-78 dBm,-57 dBm,-89 dBm
B4,-73 dBm,-79 dBm,-72 dBm,-93 dBm,-68 dBm,-77 dBm,-57 dBm,-90 dBm
B4,-71 dBm,-74 dBm,-71 dBm,-94 dBm,-69 dBm,-78 dBm,-58 dBm,-91 dBm
B4,-74 dBm,-77 dBm,-71 dBm,-93 dBm,-69 dBm,-78 dBm,-59 dBm,-92 dBm
B4,-71 dBm,-78 dBm,-74 dBm,-93 dBm,-68 dBm,-78 dBm,-58 dBm,-91 dBm
B4,-72 dBm,-78 dBm,-71 dBm,-92 dBm,-68 dBm,-79 dBm,-58 dBm,-91 dBm
B4,-71 dBm,-78 dBm,-71 dBm,-93 dBm,-67 dBm,-78 dBm,-58 dBm,-89 dBm
B4,-73 dBm,-78 dBm,-73 dBm,-90 dBm,-66 dBm,-78 dBm,-58 dBm,-92 dBm
B4,-73 dBm,-74 dBm,-72 dBm,-92 dBm,-68 dBm,-77 dBm,-58 dBm,-93 dBm
B4,-74 dBm,-78 dBm,-72 dBm,-91 dBm,-69 dBm,-77 dBm,-58 dBm,-91 dBm
B4,-74 dBm,-78 dBm,-71 dBm,-92 dBm,-69 dBm,-77 dBm,-58 dBm,-90 dBm
B4,-73 dBm,-78 dBm,-71 dBm,-93 dBm,-66 dBm,-75 dBm,-58 dBm,-89 dBm
B4,-74 dBm,-78 dBm,-71 dBm,-89 dBm,-72 dBm,-77 dBm,-58 dBm,-90 dBm
B4,-73 dBm,-79 dBm,-72 dBm,-92 dBm,-70 dBm,-77 dBm,-59 dBm,-90 dBm
B4,-72 dBm,-76 dBm,-71 dBm,-94 dBm,-72 dBm,-77 dBm,-58 dBm,-91 dBm
B5,-74 dBm,-82 dBm,-68 dBm,-81 dBm,-65 dBm,-83 dBm,-65 dBm,-93 dBm
B5,-74 dBm,-78 dBm,-70 dBm,-82 dBm,-64 dBm,-82 dBm,-64 dBm,-92 dBm
B5,-71 dBm,-78 dBm,-69 dBm,-81 dBm,-64 dBm,-81 dBm,-64 dBm,-95 dBm
B5,-72 dBm,-79 dBm,-69 dBm,-84 dBm,-63 dBm,-80 dBm,-64 dBm,-91 dBm
B5,-71 dBm,-77 dBm,-68 dBm,-81 dBm,-63 dBm,-82 dBm,-65 dBm,-91 dBm
B5,-71 dBm,-80 dBm,-68 dBm,-83 dBm,-64 dBm,-83 dBm,-65 dBm,-91 dBm
B5,-72 dBm,-78 dBm,-66 dBm,-81 dBm,-63 dBm,-82 dBm,-65 dBm,-92 dBm
B5,-73 dBm,-78 dBm,-69 dBm,-83 dBm,-64 dBm,-82 dBm,-64 dBm,-91 dBm
B5,-72 dBm,-79 dBm,-69 dBm,-84 dBm,-64 dBm,-82 dBm,-65 dBm,-96 dBm
B5,-71 dBm,-78 dBm,-68 dBm,-83 dBm,-65 dBm,-81 dBm,-65 dBm,-93 dBm
B5,-72 dBm,-80 dBm,-69 dBm,-84 dBm,-65 dBm,-80 dBm,-64 dBm,-92 dBm
B5,-73 dBm,-81 dBm,-69 dBm,-83 dBm,-64 dBm,-82 dBm,-65 dBm,-93 dBm
B5,-70 dBm,-80 dBm,-69 dBm,-83 dBm,-65 dBm,-79 dBm,-64 dBm,-93 dBm
B5,-73 dBm,-77 dBm,-69 dBm,-83 dBm,-65 dBm,-81 dBm,-63 dBm,-93 dBm
B5,-71 dBm,-80 dBm,-69 dBm,-81 dBm,-65 dBm,-84 dBm,-65 dBm,-95 dBm
B5,-71 dBm,-78 dBm,-71 dBm,-82 dBm,-63 dBm,-82 dBm,-64 dBm,-93 dBm
B5,-71 dBm,-79 dBm,-68 dBm,-82 dBm,-60 dBm,-80 dBm,-66 dBm,-92 dBm
B5,-71 dBm,-84 dBm,-64 dBm,-82 dBm,-65 dBm,-79 dBm,-65 dBm,-92 dBm
B5,-72 dBm,-77 dBm,-70 dBm,-82 dBm,-64 dBm,-82 dBm,-64 dBm,-93 dBm
B5,-72 dBm,-79 dBm,-70 dBm,-82 dBm,-63 dBm,-81 dBm,-65 dBm,-92 dBm
B5,-71 dBm,-83 dBm,-68 dBm,-83 dBm,-64 dBm,-78 dBm,-63 dBm,-94 dBm
B5,-73 dBm,-77 dBm,-69 dBm,-83 dBm,-64 dBm,-80 dBm,-64 dBm,-91 dBm
B5,-70 dBm,-81 dBm,-63 dBm,-83 dBm,-64 dBm,-82 dBm,-63 dBm,-93 dBm
B5,-72 dBm,-81 dBm,-68 dBm,-86 dBm,-65 dBm,-80 dBm,-65 dBm,-90 dBm
B5,-72 dBm,-78 dBm,-70 dBm,-82 dBm,-64 dBm,-82 dBm,-66 dBm,-92 dBm
B5,-74 dBm,-79 dBm,-68 dBm,-82 dBm,-65 dBm,-80 dBm,-65 dBm,-91 dBm
B5,-73 dBm,-78 dBm,-70 dBm,-83 dBm,-64 dBm,-81 dBm,-65 dBm,-92 dBm
B5,-71 dBm,-77 dBm,-70 dBm,-82 dBm,-64 dBm,-84 dBm,-65 dBm,-89 dBm
B5,-71 dBm,-81 dBm,-68 dBm,-81 dBm,-63 dBm,-81 dBm,-65 dBm,-94 dBm
B5,-72 dBm,-80 dBm,-68 dBm,-82 dBm,-65 dBm,-82 dBm,-65 dBm,-91 dBm
B5,-71 dBm,-81 dBm,-70 dBm,-82 dBm,-64 dBm,-84 dBm,-63 dBm,-94 dBm
B6,-78 dBm,-71 dBm,-55 dBm,-85 dBm,-66 dBm,-84 dBm,-60 dBm,-90 dBm
B6,-69 dBm,-70 dBm,-55 dBm,-84 dBm,-64 dBm,-82 dBm,-61 dBm,-92 dBm
B6,-65 dBm,-73 dBm,-57 dBm,-83 dBm,-66 dBm,-86 dBm,-58 dBm,-86 dBm
B6,-66 dBm,-73 dBm,-55 dBm,-84 dBm,-66 dBm,-85 dBm,-58 dBm,-90 dBm
B6,-68 dBm,-76 dBm,-58 dBm,-84 dBm,-65 dBm,-88 dBm,-58 dBm,-89 dBm
B6,-68 dBm,-74 dBm,-58 dBm,-85 dBm,-67 dBm,-86 dBm,-62 dBm,-88 dBm
B6,-67 dBm,-76 dBm,-57 dBm,-82 dBm,-64 dBm,-82 dBm,-59 dBm,-88 dBm
B6,-66 dBm,-75 dBm,-58 dBm,-85 dBm,-71 dBm,-83 dBm,-59 dBm,-88 dBm
B6,-67 dBm,-78 dBm,-58 dBm,-85 dBm,-65 dBm,-83 dBm,-57 dBm,-89 dBm
B6,-68 dBm,-75 dBm,-58 dBm,-84 dBm,-65 dBm,-86 dBm,-58 dBm,-89 dBm
B6,-69 dBm,-77 dBm,-58 dBm,-85 dBm,-65 dBm,-85 dBm,-57 dBm,-89 dBm
B6,-66 dBm,-75 dBm,-58 dBm,-85 dBm,-65 dBm,-85 dBm,-59 dBm,-88 dBm
B6,-65 dBm,-75 dBm,-58 dBm,-81 dBm,-62 dBm,-82 dBm,-58 dBm,-88 dBm
B6,-66 dBm,-74 dBm,-57 dBm,-84 dBm,-64 dBm,-84 dBm,-59 dBm,-88 dBm
B6,-66 dBm,-75 dBm,-57 dBm,-85 dBm,-64 dBm,-85 dBm,-58 dBm,-87 dBm
B6,-65 dBm,-74 dBm,-58 dBm,-83 dBm,-65 dBm,-86 dBm,-59 dBm,-88 dBm
B6,-67 dBm,-77 dBm,-57 dBm,-85 dBm,-64 dBm,-86 dBm,-58 dBm,-88 dBm
B6,-66 dBm,-74 dBm,-58 dBm,-84 dBm,-64 dBm,-85 dBm,-58 dBm,-86 dBm
B6,-67 dBm,-75 dBm,-59 dBm,-85 dBm,-65 dBm,-83 dBm,-58 dBm,-87 dBm
B6,-67 dBm,-75 dBm,-58 dBm,-84 dBm,-65 dBm,-84 dBm,-58 dBm,-88 dBm
B6,-67 dBm,-76 dBm,-59 dBm,-84 dBm,-65 dBm,-85 dBm,-59 dBm,-87 dBm
B6,-67 dBm,-74 dBm,-58 dBm,-85 dBm,-64 dBm,-84 dBm,-57 dBm,-87 dBm
B6,-67 dBm,-75 dBm,-61 dBm,-83 dBm,-66 dBm,-82 dBm,-58 dBm,-88 dBm
B6,-67 dBm,-75 dBm,-58 dBm,-87 dBm,-63 dBm,-86 dBm,-58 dBm,-89 dBm
B6,-67 dBm,-74 dBm,-57 dBm,-86 dBm,-64 dBm,-89 dBm,-58 dBm,-88 dBm
B6,-66 dBm,-75 dBm,-58 dBm,-85 dBm,-64 dBm,-87 dBm,-58 dBm,-88 dBm
B6,-66 dBm,-75 dBm,-59 dBm,-84 dBm,-66 dBm,-86 dBm,-59 dBm,-87 dBm
B6,-68 dBm,-75 dBm,-59 dBm,-83 dBm,-64 dBm,-84 dBm,-56 dBm,-89 dBm
B6,-66 dBm,-76 dBm,-57 dBm,-85 dBm,-64 dBm,-84 dBm,-59 dBm,-87 dBm
B6,-67 dBm,-76 dBm,-57 dBm,-85 dBm,-64 dBm,-84 dBm,-59 dBm,-88 dBm
B6,-67 dBm,-74 dBm,-60 dBm,-83 dBm,-65 dBm,-85 dBm,-59 dBm,-89 dBm
B6,-67 dBm,-75 dBm,-58 dBm,-85 dBm,-65 dBm,-84 dBm,-59 dBm,-87 dBm
B7,-66 dBm,-70 dBm,-65 dBm,-88 dBm,-68 dBm,-89 dBm,-69 dBm,-83 dBm
B7,-65 dBm,-70 dBm,-63 dBm,-89 dBm,-69 dBm,-88 dBm,-68 dBm,-82 dBm
B7,-63 dBm,-70 dBm,-66 dBm,-88 dBm,-69 dBm,-87 dBm,-68 dBm,-83 dBm
B7,-64 dBm,-71 dBm,-63 dBm,-87 dBm,-69 dBm,-87 dBm,-68 dBm,-81 dBm
B7,-63 dBm,-70 dBm,-65 dBm,-87 dBm,-69 dBm,-86 dBm,-67 dBm,-86 dBm
B7,-64 dBm,-72 dBm,-66 dBm,-86 dBm,-69 dBm,-87 dBm,-68 dBm,-82 dBm
B7,-65 dBm,-70 dBm,-65 dBm,-87 dBm,-70 dBm,-87 dBm,-65 dBm,-80 dBm
B7,-64 dBm,-71 dBm,-65 dBm,-86 dBm,-71 dBm,-86 dBm,-67 dBm,-81 dBm
B7,-63 dBm,-70 dBm,-64 dBm,-87 dBm,-69 dBm,-87 dBm,-67 dBm,-83 dBm
B7,-64 dBm,-69 dBm,-65 dBm,-86 dBm,-71 dBm,-82 dBm,-67 dBm,-81 dBm
B7,-63 dBm,-68 dBm,-64 dBm,-86 dBm,-70 dBm,-87 dBm,-67 dBm,-84 dBm
B7,-65 dBm,-71 dBm,-65 dBm,-86 dBm,-71 dBm,-85 dBm,-67 dBm,-80 dBm
B7,-63 dBm,-73 dBm,-65 dBm,-85 dBm,-69 dBm,-86 dBm,-65 dBm,-85 dBm
B7,-63 dBm,-70 dBm,-65 dBm,-86 dBm,-69 dBm,-85 dBm,-67 dBm,-81 dBm
B7,-64 dBm,-70 dBm,-65 dBm,-85 dBm,-67 dBm,-80 dBm,-68 dBm,-84 dBm
B7,-65 dBm,-70 dBm,-64 dBm,-86 dBm,-69 dBm,-86 dBm,-67 dBm,-84 dBm
B7,-66 dBm,-70 dBm,-65 dBm,-86 dBm,-70 dBm,-85 dBm,-67 dBm,-82 dBm
B7,-66 dBm,-70 dBm,-66 dBm,-88 dBm,-69 dBm,-85 dBm,-69 dBm,-83 dBm
B7,-65 dBm,-71 dBm,-64 dBm,-89 dBm,-69 dBm,-88 dBm,-76 dBm,-81 dBm
B7,-67 dBm,-70 dBm,-66 dBm,-89 dBm,-70 dBm,-83 dBm,-67 dBm,-88 dBm
B7,-63 dBm,-69 dBm,-69 dBm,-86 dBm,-69 dBm,-85 dBm,-68 dBm,-84 dBm
B7,-64 dBm,-68 dBm,-65 dBm,-85 dBm,-76 dBm,-81 dBm,-64 dBm,-85 dBm
B7,-67 dBm,-69 dBm,-64 dBm,-86 dBm,-68 dBm,-86 dBm,-73 dBm,-86 dBm
B7,-63 dBm,-69 dBm,-66 dBm,-87 dBm,-66 dBm,-83 dBm,-70 dBm,-81 dBm
B7,-65 dBm,-70 dBm,-66 dBm,-87 dBm,-69 dBm,-84 dBm,-67 dBm,-80 dBm
B7,-65 dBm,-70 dBm,-65 dBm,-86 dBm,-67 dBm,-84 dBm,-69 dBm,-82 dBm
B7,-63 dBm,-70 dBm,-65 dBm,-89 dBm,-69 dBm,-83 dBm,-67 dBm,-82 dBm
B7,-65 dBm,-70 dBm,-66 dBm,-88 dBm,-69 dBm,-83 dBm,-69 dBm,-83 dBm
B7,-64 dBm,-69 dBm,-65 dBm,-88 dBm,-70 dBm,-84 dBm,-65 dBm,-83 dBm
B7,-65 dBm,-71 dBm,-64 dBm,-86 dBm,-69 dBm,-86 dBm,-66 dBm,-81 dBm
B7,-67 dBm,-68 dBm,-64 dBm,-88 dBm,-71 dBm,-85 dBm,-68 dBm,-82 dBm
B9,-67 dBm,-72 dBm,-71 dBm,-91 dBm,-79 dBm,-93 dBm,-70 dBm,-93 dBm
B9,-67 dBm,-74 dBm,-66 dBm,-88 dBm,-79 dBm,-86 dBm,-69 dBm,-91 dBm
B9,-67 dBm,-71 dBm,-70 dBm,-89 dBm,-80 dBm,-91 dBm,-70 dBm,-89 dBm
