Grid,CSG518-1,CSG518-2,CSG518-3,CSG518-4,CSG518-5,CSG518-6,CSG518-7,CSG518-8
A2,-79 dBm,-86 dBm,-70 dBm,-93 dBm,-73 dBm,-78 dBm,-70 dBm,-88 dBm
A2,-77 dBm,-90 dBm,-72 dBm,-90 dBm,-78 dBm,-81 dBm,-70 dBm,-90 dBm
A2,-80 dBm,-89 dBm,-70 dBm,-90 dBm,-76 dBm,-81 dBm,-67 dBm,-87 dBm
A2,-77 dBm,-88 dBm,-68 dBm,-90 dBm,-76 dBm,-81 dBm,-68 dBm,-89 dBm
A2,-78 dBm,-89 dBm,-72 dBm,-91 dBm,-79 dBm,-81 dBm,-69 dBm,-89 dBm
A2,-79 dBm,-90 dBm,-71 dBm,-91 dBm,-78 dBm,-81 dBm,-68 dBm,-88 dBm
A2,-80 dBm,-88 dBm,-74 dBm,-91 dBm,-85 dBm,-87 dBm,-67 dBm,-90 dBm
A2,-80 dBm,-89 dBm,-72 dBm,-90 dBm,-79 dBm,-77 dBm,-69 dBm,-90 dBm
I1,-80 dBm,-93 dBm,-80 dBm,-92 dBm,-67 dBm,-83 dBm,-82 dBm,-86 dBm
I1,-75 dBm,-92 dBm,-78 dBm,-87 dBm,-76 dBm,-85 dBm,-77 dBm,-91 dBm
I1,-80 dBm,-86 dBm,-79 dBm,-77 dBm,-70 dBm,-83 dBm,-78 dBm,-92 dBm
I1,-79 dBm,-93 dBm,-80 dBm,-82 dBm,-69 dBm,-88 dBm,-78 dBm,-87 dBm
I1,-78 dBm,-90 dBm,-81 dBm,-89 dBm,-66 dBm,-80 dBm,-77 dBm,-86 dBm
I1,-78 dBm,-91 dBm,-79 dBm,-89 dBm,-67 dBm,-82 dBm,-81 dBm,-86 dBm
I1,-81 dBm,-90 dBm,-78 dBm,-88 dBm,-69 dBm,-82 dBm,-76 dBm,-85 dBm
I1,-78 dBm,-93 dBm,-80 dBm,-87 dBm,-67 dBm,-80 dBm,-80 dBm,-89 dBm
I1,-81 dBm,-91 dBm,-80 dBm,-88 dBm,-68 dBm,-82 dBm,-81 dBm,-87 dBm
I1,-80 dBm,-89 dBm,-80 dBm,-87 dBm,-68 dBm,-87 dBm,-81 dBm,-87 dBm
I1,-78 dBm,-90 dBm,-80 dBm,-89 dBm,-69 dBm,-87 dBm,-80 dBm,-87 dBm
I1,-82 dBm,-94 dBm,-80 dBm,-86 dBm,-68 dBm,-87 dBm,-79 dBm,-89 dBm
I1,-79 dBm,-92 dBm,-79 dBm,-85 dBm,-68 dBm,-88 dBm,-82 dBm,-86 dBm
I1,-83 dBm,-90 dBm,-79 dBm,-86 dBm,-68 dBm,-83 dBm,-81 dBm,-88 dBm
I1,-81 dBm,-89 dBm,-78 dBm,-83 dBm,-67 dBm,-84 dBm,-81 dBm,-89 dBm
I1,-81 dBm,-91 dBm,-79 dBm,-81 dBm,-69 dBm,-83 dBm,-81 dBm,-89 dBm
I1,-80 dBm,-89 dBm,-79 dBm,-85 dBm,-69 dBm,-82 dBm,-81 dBm,-88 dBm
I1,-81 dBm,-91 dBm,-81 dBm,-85 dBm,-68 dBm,-84 dBm,-82 dBm,-88 dBm
I1,-82 dBm,-90 dBm,-81 dBm,-87 dBm,-69 dBm,-83 dBm,-80 dBm,-87 dBm
I1,-79 dBm,-90 dBm,-82 dBm,-87 dBm,-68 dBm,-83 dBm,-82 dBm,-89 dBm
I1,-80 dBm,-90 dBm,-81 dBm,-88 dBm,-68 dBm,-86 dBm,-81 dBm,-88 dBm
I1,-79 dBm,-93 dBm,-79 dBm,-83 dBm,-67 dBm,-84 dBm,-81 dBm,-87 dBm
I1,-80 dBm,-91 dBm,-78 dBm,-86 dBm,-69 dBm,-84 dBm,-79 dBm,-86 dBm
I1,-80 dBm,-92 dBm,-80 dBm,-82 dBm,-68 dBm,-88 dBm,-81 dBm,-87 dBm
I1,-80 dBm,-93 dBm,-80 dBm,-87 dBm,-66 dBm,-83 dBm,-80 dBm,-87 dBm
I1,-79 dBm,-92 dBm,-78 dBm,-84 dBm,-68 dBm,-82 dBm,-81 dBm,-88 dBm
I1,-79 dBm,-90 dBm,-76 dBm,-88 dBm,-68 dBm,-81 dBm,-82 dBm,-88 dBm
I1,-76 dBm,-95 dBm,-82 dBm,-85 dBm,-66 dBm,-82 dBm,-78 dBm,-86 dBm
I1,-78 dBm,-91 dBm,-80 dBm,-84 dBm,-67 dBm,-83 dBm,-82 dBm,-88 dBm
I1,-80 dBm,-92 dBm,-80 dBm,-85 dBm,-68 dBm,-82 dBm,-79 dBm,-86 dBm
I1,-80 dBm,-92 dBm,-82 dBm,-84 dBm,-67 dBm,-80 dBm,-82 dBm,-85 dBm
I1,-82 dBm,-93 dBm,-82 dBm,-84 dBm,-67 dBm,-83 dBm,-83 dBm,-93 dBm
I1,-80 dBm,-92 dBm,-80 dBm,-87 dBm,-67 dBm,-82 dBm,-82 dBm,-87 dBm
A3,-75 dBm,-86 dBm,-65 dBm,-90 dBm,-74 dBm,-87 dBm,-72 dBm,-91 dBm
A3,-76 dBm,-83 dBm,-65 dBm,-89 dBm,-71 dBm,-87 dBm,-71 dBm,-94 dBm
A3,-74 dBm,-83 dBm,-66 dBm,-87 dBm,-73 dBm,-91 dBm,-72 dBm,-94 dBm
A3,-77 dBm,-86 dBm,-65 dBm,-89 dBm,-72 dBm,-91 dBm,-71 dBm,-94 dBm
A3,-76 dBm,-88 dBm,-67 dBm,-88 dBm,-73 dBm,-91 dBm,-73 dBm,-93 dBm
A3,-77 dBm,-94 dBm,-65 dBm,-90 dBm,-72 dBm,-90 dBm,-73 dBm,-95 dBm
A3,-76 dBm,-86 dBm,-65 dBm,-88 dBm,-70 dBm,-91 dBm,-73 dBm,-92 dBm
