timestamp,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8
1413370,-77,-83,-68,-81,-73,-70,-63,-85
1418697,-84,-83,-68,-82,-80,-71,-64,-84
1424024,-78,-84,-69,-83,-80,-71,-65,-83
1424024,-78,-84,-69,-83,-80,-71,-65,-83
1429355,-79,-81,-70,-82,-79,-71,-64,-83
1438682,-76,-83,-68,-82,-76,-71,-64,-83
1444010,-85,-85,-68,-81,-73,-70,-65,-84
1444010,-85,-85,-68,-81,-73,-70,-65,-84
1449339,-82,-86,-70,-86,-76,-69,-66,-81
1458668,-80,-75,-70,-84,-75,-73,-61,-86
1463995,-75,-79,-68,-90,-78,-73,-60,-86
1463995,-75,-79,-68,-90,-78,-73,-60,-86
1469328,-70,-71,-68,-83,-70,-75,-58,-86
1478655,-69,-75,-75,-83,-67,-73,-59,-85
1483981,-70,-74,-71,-82,-68,-74,-58,-83
1489309,-69,-73,-70,-81,-70,-72,-57,-84
1489309,-69,-73,-70,-81,-70,-72,-57,-84
1494637,-66,-73,-69,-91,-69,-75,-57,-85
1503965,-72,-74,-73,-84,-74,-79,-59,-83
1509294,-75,-80,-65,-89,-71,-73,-72,-85
1509294,-75,-80,-65,-89,-71,-73,-72,-85
1514622,-69,-86,-73,-88,-67,-67,-66,-88
1523952,-67,-87,-71,-89,-71,-66,-64,-91
1529282,-69,-87,-69,-89,-67,-69,-69,-87
1534611,-69,-83,-71,-94,-65,-67,-66,-91
1534611,-69,-83,-71,-94,-65,-67,-66,-91
1539942,-74,-84,-70,-92,-62,-67,-70,-92
1549269,-76,-87,-67,-88,-77,-71,-62,-82
1554599,-77,-89,-65,-94,-75,-72,-64,-83
1559731,-74,-89,-69,-87,-73,-68,-67,-82
1559731,-74,-89,-69,-87,-73,-68,-67,-82
1565060,-74,-76,-67,-84,-64,-70,-61,-90
1574391,-76,-78,-71,-84,-69,-70,-62,-88
1579720,-74,-77,-74,-84,-69,-73,-61,-93
1585047,-74,-77,-72,-83,-68,-71,-61,-97
1585047,-74,-77,-72,-83,-68,-71,-61,-97
1590377,-77,-79,-69,-86,-74,-74,-63,-86
1599706,-76,-75,-73,-86,-66,-72,-71,-86
1605033,-69,-73,-68,-93,-61,-67,-62,-84
1605033,-69,-73,-68,-93,-61,-67,-62,-84
1610360,-78,-81,-68,-82,-72,-67,-69,-85
1619688,-73,-89,-69,-82,-66,-65,-72,-92
1625022,-68,-87,-65,-95,-70,-68,-70,-91
1630355,-68,-80,-67,-87,-68,-66,-66,-91
1630355,-68,-80,-67,-87,-68,-66,-66,-91
1635683,-73,-82,-74,-84,-64,-69,-68,-87
1645011,-74,-81,-68,-86,-71,-65,-68,-91
1650339,-70,-84,-73,-88,-68,-71,-69,-88
1650339,-70,-84,-73,-88,-68,-71,-69,-88
1655672,-72,-82,-73,-83,-69,-67,-69,-88
1665000,-72,-83,-72,-82,-70,-70,-67,-86
1670328,-70,-81,-74,-84,-76,-71,-71,-91
1675658,-80,-79,-69,-90,-75,-71,-73,-89
1680990,-77,-80,-72,-85,-71,-80,-74,-84
1680990,-77,-80,-72,-85,-71,-80,-74,-84
1686319,-74,-80,-66,-94,-68,-81,-65,-83
1695649,-70,-82,-65,-80,-71,-69,-59,-84
1700976,-72,-85,-69,-78,-70,-69,-60,-92
