timestamp,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8
2484168,-79,-78,-70,-83,-59,-71,-70,-86
2493495,-78,-78,-70,-82,-59,-69,-72,-85
2498823,-81,-78,-70,-81,-59,-70,-71,-85
2498823,-81,-78,-70,-81,-59,-70,-71,-85
2504151,-80,-79,-71,-80,-58,-70,-72,-85
2513478,-80,-77,-67,-85,-58,-70,-70,-87
2518805,-77,-78,-69,-82,-59,-70,-71,-88
2524134,-77,-79,-69,-83,-60,-69,-72,-86
2524134,-77,-79,-69,-83,-60,-69,-72,-86
2529464,-76,-80,-68,-82,-60,-67,-71,-87
2538792,-79,-77,-70,-82,-59,-67,-71,-86
2544124,-75,-79,-70,-82,-60,-68,-71,-84
2549454,-77,-77,-69,-83,-59,-69,-74,-85
2549454,-77,-77,-69,-83,-59,-69,-74,-85
2554783,-78,-77,-67,-81,-58,-69,-73,-87
2564114,-76,-78,-70,-84,-60,-66,-72,-87
2569443,-76,-78,-71,-84,-60,-69,-72,-86
2574770,-75,-78,-70,-82,-59,-70,-72,-86
2574770,-75,-78,-70,-82,-59,-70,-72,-86
2580101,-76,-78,-69,-82,-59,-70,-70,-88
2589429,-77,-78,-70,-81,-58,-69,-72,-88
2594757,-81,-79,-70,-82,-59,-68,-72,-88
2594757,-81,-79,-70,-82,-59,-68,-72,-88
2600086,-80,-77,-69,-79,-57,-69,-71,-86
2600086,-80,-77,-69,-79,-57,-69,-71,-86
2610416,-82,-77,-71,-80,-59,-71,-71,-86
2619744,-79,-79,-72,-82,-58,-69,-71,-83
2625071,-81,-80,-71,-81,-58,-71,-69,-84
2625071,-81,-80,-71,-81,-58,-71,-69,-84
2630403,-78,-77,-70,-79,-58,-70,-71,-83
2639731,-77,-77,-70,-80,-58,-67,-70,-86
2645062,-78,-78,-70,-78,-59,-71,-72,-85
2645062,-78,-78,-70,-78,-59,-71,-72,-85
2650392,-77,-78,-71,-85,-62,-69,-71,-84
2659722,-74,-77,-70,-83,-59,-70,-71,-84
2665052,-78,-78,-71,-82,-59,-69,-67,-82
2670379,-76,-78,-70,-82,-58,-69,-70,-84
2675707,-76,-77,-69,-83,-57,-69,-69,-83
2675707,-76,-77,-69,-83,-57,-69,-69,-83
2681039,-76,-78,-74,-82,-58,-70,-70,-85
2690367,-75,-79,-71,-82,-59,-69,-68,-81
2695697,-81,-79,-69,-83,-59,-68,-71,-83
2695697,-81,-79,-69,-83,-59,-68,-71,-83
2701027,-77,-77,-70,-80,-61,-69,-71,-82
2710356,-77,-78,-70,-82,-59,-69,-70,-83
2715684,-78,-77,-70,-82,-59,-69,-71,-85
2715684,-78,-77,-70,-82,-59,-69,-71,-85
2721012,-77,-78,-71,-82,-59,-70,-71,-82
2730339,-77,-78,-70,-80,-59,-69,-71,-84
2735668,-76,-78,-70,-81,-59,-67,-71,-85
2740996,-79,-76,-72,-85,-59,-70,-71,-83
2740996,-79,-76,-72,-85,-59,-70,-71,-83
2746325,-77,-77,-71,-81,-60,-69,-71,-84
2755654,-78,-77,-70,-81,-60,-67,-72,-84
2760982,-79,-78,-70,-82,-60,-70,-71,-84
2760982,-79,-78,-70,-82,-60,-70,-71,-84
2766312,-77,-78,-70,-82,-60,-69,-71,-85
2775641,-79,-85,-69,-84,-60,-69,-72,-86
