timestamp,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8
5489552,-50,-75,-71,-76,-65,-80,-78,-77
5494883,-49,-75,-71,-77,-67,-79,-78,-77
5494883,-49,-75,-71,-77,-67,-79,-78,-77
5500212,-50,-74,-73,-78,-67,-83,-72,-77
5500212,-50,-74,-73,-78,-67,-83,-72,-77
5510542,-50,-75,-74,-77,-69,-81,-77,-77
5519870,-50,-74,-72,-77,-68,-80,-78,-77
5525198,-49,-76,-73,-78,-67,-81,-78,-86
5525198,-49,-76,-73,-78,-67,-81,-78,-86
5530527,-51,-72,-64,-80,-66,-80,-78,-79
5539855,-54,-75,-72,-79,-63,-93,-73,-81
5545183,-55,-74,-68,-81,-60,-89,-75,-79
5550513,-53,-71,-80,-80,-64,-87,-76,-77
5550513,-53,-71,-80,-80,-64,-87,-76,-77
5555842,-54,-74,-72,-80,-63,-90,-77,-77
5565172,-56,-73,-70,-80,-61,-90,-76,-80
5570503,-55,-74,-68,-80,-72,-89,-77,-76
5570503,-55,-74,-68,-80,-72,-89,-77,-76
5575832,-55,-75,-73,-79,-67,-91,-74,-78
5586161,-55,-76,-72,-78,-67,-88,-76,-77
5586161,-55,-76,-72,-78,-67,-88,-76,-77
5591490,-55,-75,-74,-79,-63,-91,-76,-77
5600820,-54,-75,-73,-75,-63,-90,-76,-77
5606149,-54,-75,-70,-78,-64,-90,-77,-78
5606149,-54,-75,-70,-78,-64,-90,-77,-78
5611477,-55,-75,-69,-80,-64,-88,-76,-76
5620806,-57,-75,-72,-77,-64,-89,-73,-77
5626135,-53,-75,-72,-78,-63,-90,-75,-78
5626135,-53,-75,-72,-78,-63,-90,-75,-78
5631465,-56,-73,-70,-79,-63,-90,-75,-77
5631465,-56,-73,-70,-79,-63,-90,-75,-77
5641795,-55,-74,-77,-79,-63,-90,-75,-77
5651125,-56,-74,-72,-80,-63,-90,-75,-76
5656453,-55,-75,-72,-78,-64,-93,-75,-77
5661781,-54,-75,-73,-80,-64,-92,-75,-77
5661781,-54,-75,-73,-80,-64,-92,-75,-77
5667112,-53,-75,-76,-80,-65,-88,-76,-77
5676441,-55,-72,-78,-79,-65,-89,-74,-76
5681772,-55,-75,-72,-79,-64,-87,-77,-77
5687100,-54,-75,-71,-79,-67,-89,-78,-78
5692428,-55,-74,-71,-80,-65,-89,-76,-77
5692428,-55,-74,-71,-80,-65,-89,-76,-77
5697758,-55,-74,-70,-81,-64,-90,-74,-78
5707088,-55,-75,-70,-81,-67,-89,-74,-77
5712418,-54,-74,-76,-81,-65,-89,-74,-77
5717749,-54,-75,-77,-79,-66,-96,-80,-76
5717749,-54,-75,-77,-79,-66,-96,-80,-76
5723078,-56,-74,-75,-80,-66,-95,-74,-75
5732407,-54,-74,-75,-79,-66,-87,-77,-78
5737736,-54,-74,-77,-77,-65,-90,-74,-78
5737736,-54,-74,-77,-77,-65,-90,-74,-78
5743066,-56,-73,-73,-81,-66,-90,-78,-77
5752394,-53,-72,-71,-79,-67,-89,-76,-77
5757721,-54,-75,-68,-79,-69,-87,-75,-78
5757721,-54,-75,-68,-79,-69,-87,-75,-78
5763051,-56,-73,-71,-79,-66,-91,-75,-78
5772379,-55,-76,-75,-80,-63,-89,-75,-75
5777709,-55,-73,-72,-80,-64,-91,-77,-77
5783037,-54,-74,-73,-78,-66,-86,-78,-78
