timestamp,CSG518-1,CSG518-2,CSG518-3,CSG518-4,CSG518-5,CSG518-6,CSG518-7,CSG518-8,grid
739117,-64,-81,-62,-95,-73,-83,-68,-87,A00
744451,-65,-81,-71,-91,-69,-79,-68,-87,A00
744451,-65,-81,-71,-91,-69,-79,-68,-87,A00
749784,-65,-83,-64,-92,-70,-80,-69,-87,A00
759115,-69,-84,-74,-92,-72,-78,-63,-93,A00
764444,-68,-88,-75,-92,-73,-81,-63,-93,A00
764444,-68,-88,-75,-92,-73,-81,-63,-93,A00
769978,-74,-79,-66,-91,-68,-74,-68,-89,A00
779311,-75,-79,-70,-86,-85,-82,-69,-95,A00
784643,-73,-82,-76,-85,-75,-78,-69,-97,A00
784643,-73,-82,-76,-85,-75,-78,-69,-97,A00
789977,-77,-80,-66,-91,-73,-76,-67,-92,A00
799309,-79,-87,-63,-90,-66,-82,-73,-83,A00
804638,-81,-83,-65,-94,-73,-74,-70,-85,A00
804638,-81,-83,-65,-94,-73,-74,-70,-85,A00
810168,-73,-77,-70,-86,-66,-76,-62,-83,A00
819497,-71,-76,-62,-84,-72,-74,-65,-90,A00
825027,-72,-83,-67,-86,-64,-74,-80,-94,A00
825027,-72,-83,-67,-86,-64,-74,-80,-94,A00
830356,-74,-88,-65,-84,-63,-72,-79,-92,A00
839686,-76,-82,-66,-88,-65,-72,-83,-93,A00
845018,-73,-84,-66,-86,-64,-72,-81,-91,A00
850346,-74,-84,-66,-84,-63,-71,-81,-95,A00
850346,-74,-84,-66,-84,-63,-71,-81,-95,A00
855679,-74,-89,-66,-82,-65,-82,-75,-91,A00
865011,-68,-83,-67,-94,-80,-86,-75,-91,A00
870343,-64,-83,-67,-89,-71,-80,-73,-94,A00
870343,-64,-83,-67,-89,-71,-80,-73,-94,A00
875675,-78,-83,-67,-92,-71,-78,-76,-90,A00
885004,-67,-82,-71,-86,-71,-77,-78,-93,A00
890337,-68,-82,-66,-82,-70,-77,-69,-93,A00
890337,-68,-82,-66,-82,-70,-77,-69,-93,A00
895668,-72,-84,-64,-81,-69,-83,-67,-84,A00
895668,-72,-84,-64,-81,-69,-83,-67,-84,A00
905998,-64,-85,-64,-84,-72,-81,-64,-82,A00
915327,-70,-86,-73,-86,-73,-80,-63,-92,A00
920857,-72,-84,-72,-87,-79,-78,-63,-90,A00
920857,-72,-84,-72,-87,-79,-78,-63,-90,A00
926386,-77,-89,-71,-88,-74,-81,-68,-92,A00
935716,-76,-84,-76,-89,-72,-83,-65,-93,A00
935716,-76,-84,-76,-89,-72,-83,-65,-93,A00
941245,-75,-79,-75,-90,-78,-77,-64,-86,A00
950775,-73,-89,-77,-89,-78,-81,-66,-95,A00
950775,-73,-89,-77,-89,-78,-81,-66,-95,A00
956306,-69,-88,-72,-89,-79,-79,-69,-90,A00
965835,-73,-92,-72,-92,-79,-86,-62,-87,A00
965835,-73,-92,-72,-92,-79,-86,-62,-87,A00
971364,-73,-85,-71,-89,-78,-83,-68,-90,A00
980891,-80,-91,-72,-93,-74,-79,-76,-95,A00
