timestamp,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8
5735327,-73,-62,-56,-88,-76,-80,-58,-87
5735327,-73,-62,-56,-88,-76,-80,-58,-87
5740856,-77,-62,-54,-92,-73,-81,-59,-88
5750386,-73,-61,-54,-91,-73,-78,-59,-87
5750386,-73,-61,-54,-91,-73,-78,-59,-87
5755914,-74,-61,-55,-92,-73,-83,-60,-87
5765442,-74,-62,-54,-91,-71,-86,-59,-87
5765442,-74,-62,-54,-91,-71,-86,-59,-87
5770970,-74,-62,-55,-90,-72,-80,-59,-86
5780498,-75,-61,-54,-86,-74,-82,-58,-83
5780498,-75,-61,-54,-86,-74,-82,-58,-83
5786026,-75,-61,-55,-92,-73,-84,-60,-88
5795556,-70,-61,-55,-89,-77,-81,-57,-88
5795556,-70,-61,-55,-89,-77,-81,-57,-88
5801085,-75,-70,-53,-88,-77,-79,-60,-88
5810617,-74,-62,-55,-89,-76,-83,-59,-87
5810617,-74,-62,-55,-89,-76,-83,-59,-87
5816147,-76,-62,-55,-90,-75,-78,-60,-88
5825678,-76,-62,-55,-85,-75,-82,-57,-87
5825678,-76,-62,-55,-85,-75,-82,-57,-87
5831208,-74,-63,-54,-93,-79,-83,-59,-86
5840736,-74,-61,-55,-88,-74,-80,-60,-86
5840736,-74,-61,-55,-88,-74,-80,-60,-86
5846265,-74,-70,-54,-89,-75,-81,-60,-87
5855794,-71,-61,-54,-90,-75,-81,-59,-87
5855794,-71,-61,-54,-90,-75,-81,-59,-87
5861324,-74,-61,-54,-88,-75,-82,-59,-86
5870854,-73,-62,-60,-88,-75,-83,-59,-86
5870854,-73,-62,-60,-88,-75,-83,-59,-86
5876383,-74,-72,-54,-92,-72,-81,-59,-87
5885912,-74,-62,-56,-90,-74,-81,-59,-87
5885912,-74,-62,-56,-90,-74,-81,-59,-87
5891442,-74,-61,-54,-85,-74,-81,-59,-88
5900971,-74,-62,-56,-92,-74,-84,-59,-89
5906499,-74,-61,-54,-91,-73,-86,-59,-88
5906499,-74,-61,-54,-91,-73,-86,-59,-88
5912029,-80,-61,-51,-87,-74,-81,-59,-86
5921557,-75,-61,-53,-88,-75,-81,-59,-86
5921557,-75,-61,-53,-88,-75,-81,-59,-86
5927088,-74,-61,-54,-88,-74,-80,-59,-86
5936616,-72,-62,-54,-87,-73,-82,-58,-88
5942144,-76,-66,-52,-86,-75,-81,-59,-88
5947673,-75,-61,-54,-89,-71,-83,-59,-87
5947673,-75,-61,-54,-89,-71,-83,-59,-87
5953202,-76,-61,-54,-89,-71,-84,-57,-86
5962730,-74,-61,-55,-91,-71,-86,-59,-85
5962730,-74,-61,-55,-91,-71,-86,-59,-85
5968260,-75,-62,-56,-91,-70,-82,-60,-86
5977788,-74,-61,-54,-89,-73,-84,-59,-87
5977788,-74,-61,-54,-89,-73,-84,-59,-87
5983316,-74,-61,-55,-91,-72,-82,-59,-87
5992844,-74,-62,-54,-88,-70,-81,-59,-88
5992844,-74,-62,-54,-88,-70,-81,-59,-88
5998372,-75,-62,-55,-90,-74,-84,-59,-85
6007902,-76,-62,-54,-88,-74,-84,-59,-88
6007902,-76,-62,-54,-88,-74,-84,-59,-88
