timestamp,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8
913461,-75,-79,-70,-80,-53,-64,-73,-85
913461,-75,-79,-70,-80,-53,-64,-73,-85
918792,-75,-80,-70,-81,-53,-64,-73,-83
918792,-75,-80,-70,-81,-53,-64,-73,-83
929122,-72,-79,-67,-79,-54,-63,-74,-88
938451,-69,-78,-69,-79,-49,-61,-73,-87
943782,-75,-80,-68,-83,-53,-64,-73,-85
943782,-75,-80,-68,-83,-53,-64,-73,-85
949110,-74,-77,-68,-81,-52,-64,-73,-85
958441,-77,-81,-68,-82,-53,-64,-79,-84
963770,-75,-81,-68,-81,-54,-64,-74,-83
969100,-77,-78,-71,-80,-62,-63,-75,-86
974429,-74,-82,-69,-84,-54,-68,-71,-86
974429,-74,-82,-69,-84,-54,-68,-71,-86
979759,-76,-78,-74,-86,-54,-63,-73,-83
989088,-78,-81,-68,-85,-52,-65,-76,-82
994418,-75,-84,-67,-82,-53,-65,-76,-86
994418,-75,-84,-67,-82,-53,-65,-76,-86
999749,-76,-87,-71,-87,-67,-64,-81,-84
1009078,-73,-85,-66,-87,-53,-64,-76,-86
1014409,-82,-84,-69,-85,-54,-64,-72,-86
1019738,-79,-82,-69,-85,-53,-65,-75,-86
1025071,-74,-83,-68,-84,-53,-65,-74,-85
1025071,-74,-83,-68,-84,-53,-65,-74,-85
1030403,-77,-83,-68,-83,-53,-66,-76,-89
1039734,-75,-85,-70,-86,-54,-65,-73,-90
1045063,-78,-84,-68,-87,-52,-65,-75,-87
1045063,-78,-84,-68,-87,-52,-65,-75,-87
1050393,-75,-82,-68,-85,-53,-65,-72,-84
1059721,-76,-85,-68,-86,-50,-65,-73,-85
1065049,-77,-82,-67,-83,-53,-61,-74,-86
1065049,-77,-82,-67,-83,-53,-61,-74,-86
1070379,-78,-82,-68,-89,-54,-66,-77,-87
1079707,-77,-79,-68,-84,-53,-65,-78,-84
1085038,-78,-79,-68,-85,-52,-65,-77,-84
1090367,-77,-81,-68,-85,-52,-65,-78,-86
1090367,-77,-81,-68,-85,-52,-65,-78,-86
1095695,-78,-82,-68,-84,-53,-65,-75,-87
1105024,-78,-83,-68,-84,-51,-65,-83,-87
1110355,-77,-81,-67,-83,-53,-63,-77,-86
1110355,-77,-81,-67,-83,-53,-63,-77,-86
1115688,-77,-83,-67,-83,-53,-66,-78,-85
1125018,-75,-84,-67,-86,-53,-65,-75,-86
1130348,-75,-83,-70,-84,-52,-64,-80,-85
1130348,-75,-83,-70,-84,-52,-64,-80,-85
1135679,-77,-80,-67,-80,-53,-64,-76,-81
1135679,-77,-80,-67,-80,-53,-64,-76,-81
1146010,-76,-81,-69,-86,-54,-64,-76,-86
1155339,-75,-80,-69,-86,-52,-63,-82,-85
1160671,-76,-83,-68,-85,-52,-65,-77,-86
1160671,-76,-83,-68,-85,-52,-65,-77,-86
1166003,-77,-81,-68,-85,-53,-65,-76,-82
1175332,-76,-84,-71,-85,-53,-64,-79,-88
1180661,-77,-82,-68,-83,-52,-67,-79,-88
1180661,-77,-82,-68,-83,-52,-67,-79,-88
1185990,-75,-82,-68,-86,-52,-64,-78,-86
1195318,-75,-84,-68,-79,-52,-65,-76,-84
1200647,-74,-80,-67,-81,-53,-64,-78,-83
1205978,-76,-82,-68,-87,-53,-64,-77,-86
