timestamp,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8
92820,-52,-69,-74,-82,-54,-77,-69,-75
98151,-53,-68,-73,-81,-54,-79,-67,-76
103479,-53,-70,-74,-86,-55,-79,-65,-77
108810,-53,-69,-73,-82,-54,-78,-68,-78
114140,-55,-67,-74,-87,-54,-78,-72,-78
114140,-55,-67,-74,-87,-54,-78,-72,-78
119469,-53,-69,-74,-84,-54,-78,-68,-77
128799,-54,-66,-73,-85,-54,-79,-68,-78
134128,-53,-69,-73,-84,-54,-78,-69,-78
139456,-53,-67,-69,-84,-55,-79,-70,-78
139456,-53,-67,-69,-84,-55,-79,-70,-78
144785,-53,-69,-73,-82,-61,-79,-69,-78
154113,-53,-69,-73,-84,-54,-79,-68,-78
159441,-54,-70,-73,-84,-55,-79,-68,-76
164773,-53,-69,-73,-79,-54,-78,-70,-77
164773,-53,-69,-73,-79,-54,-78,-70,-77
170101,-55,-69,-73,-82,-55,-79,-69,-78
179430,-53,-68,-73,-82,-55,-78,-66,-77
184760,-54,-69,-74,-83,-53,-76,-72,-77
190088,-54,-73,-73,-83,-73,-78,-69,-77
190088,-54,-73,-73,-83,-73,-78,-69,-77
195417,-53,-68,-72,-81,-53,-78,-68,-76
204745,-52,-68,-73,-84,-54,-78,-67,-77
210077,-53,-68,-74,-80,-54,-77,-67,-77
210077,-53,-68,-74,-80,-54,-77,-67,-77
215409,-53,-77,-72,-84,-54,-79,-68,-78
224738,-53,-70,-73,-83,-54,-78,-68,-77
230066,-53,-69,-73,-81,-54,-78,-69,-78
235394,-53,-69,-74,-84,-54,-78,-69,-79
240723,-53,-73,-74,-82,-53,-78,-70,-77
246050,-53,-69,-73,-84,-54,-78,-70,-77
246050,-53,-69,-73,-84,-54,-78,-70,-77
251379,-54,-68,-73,-81,-54,-77,-68,-76
260709,-55,-69,-77,-82,-53,-76,-69,-77
266038,-51,-69,-73,-85,-55,-78,-69,-76
266038,-51,-69,-73,-85,-55,-78,-69,-76
271368,-54,-67,-74,-83,-55,-78,-69,-76
280697,-55,-69,-73,-79,-54,-77,-68,-77
286024,-53,-69,-74,-84,-54,-78,-65,-77
286024,-53,-69,-74,-84,-54,-78,-65,-77
291353,-53,-69,-73,-81,-53,-78,-68,-78
300681,-52,-69,-73,-85,-55,-78,-69,-77
306010,-56,-69,-73,-84,-72,-79,-69,-78
311338,-72,-68,-74,-81,-54,-78,-70,-77
316665,-54,-70,-73,-84,-54,-78,-68,-77
321993,-52,-68,-73,-84,-53,-77,-68,-75
321993,-52,-68,-73,-84,-53,-77,-68,-75
327324,-53,-72,-72,-84,-54,-84,-66,-77
336652,-54,-69,-74,-83,-53,-79,-67,-77
341980,-53,-69,-73,-83,-55,-78,-66,-76
341980,-53,-69,-73,-83,-55,-78,-66,-76
347308,-54,-69,-74,-83,-55,-78,-64,-75
356637,-54,-70,-74,-82,-54,-77,-68,-77
361965,-54,-69,-74,-84,-53,-78,-68,-79
367294,-54,-68,-75,-85,-53,-78,-68,-79
367294,-54,-68,-75,-85,-53,-78,-68,-79
372623,-52,-70,-74,-82,-54,-77,-68,-77
381951,-55,-69,-74,-82,-53,-78,-68,-77
387278,-53,-69,-73,-82,-54,-78,-69,-77
