timestamp,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8
6275175,-58,-76,-70,-78,-75,-95,-81,-71
6280503,-58,-76,-72,-78,-75,-95,-80,-74
6280503,-58,-76,-72,-78,-75,-95,-80,-74
6285832,-58,-75,-73,-78,-75,-94,-80,-71
6295160,-58,-75,-72,-77,-75,-94,-78,-75
6300488,-59,-76,-73,-80,-75,-94,-78,-74
6300488,-59,-76,-73,-80,-75,-94,-78,-74
6305816,-59,-78,-72,-78,-74,-91,-78,-72
6315144,-58,-76,-72,-78,-76,-95,-76,-75
6320472,-59,-76,-72,-75,-71,-97,-77,-73
6325802,-58,-78,-73,-79,-73,-95,-77,-73
6325802,-58,-78,-73,-79,-73,-95,-77,-73
6331131,-58,-77,-73,-78,-74,-94,-78,-73
6340461,-59,-77,-73,-79,-74,-92,-80,-73
6345791,-59,-75,-74,-80,-72,-93,-79,-73
6345791,-59,-75,-74,-80,-72,-93,-79,-73
6351122,-58,-76,-79,-80,-75,-96,-80,-72
6360450,-59,-77,-73,-78,-73,-94,-79,-74
6365778,-58,-77,-74,-79,-68,-93,-79,-73
6371105,-57,-78,-72,-79,-72,-94,-78,-74
6371105,-57,-78,-72,-79,-72,-94,-78,-74
6376433,-59,-77,-73,-79,-73,-91,-79,-71
6385761,-59,-78,-71,-79,-71,-94,-77,-74
6391089,-60,-77,-72,-78,-73,-92,-78,-75
6396419,-58,-73,-73,-80,-74,-93,-79,-74
6396419,-58,-73,-73,-80,-74,-93,-79,-74
6401748,-58,-74,-71,-79,-72,-93,-77,-74
6411077,-58,-75,-71,-79,-73,-94,-78,-71
6416408,-59,-76,-73,-80,-70,-94,-80,-74
6416408,-59,-76,-73,-80,-70,-94,-80,-74
6421738,-58,-75,-70,-79,-73,-94,-78,-73
6431067,-58,-77,-72,-79,-70,-93,-78,-75
6436395,-59,-76,-72,-79,-71,-94,-81,-74
6441722,-59,-81,-72,-79,-70,-95,-80,-73
6447050,-58,-76,-73,-79,-73,-93,-79,-73
6447050,-58,-76,-73,-79,-73,-93,-79,-73
6452380,-57,-78,-72,-79,-70,-94,-79,-74
6461709,-58,-77,-73,-79,-73,-90,-80,-73
6467038,-59,-74,-73,-79,-79,-92,-79,-75
6472368,-57,-76,-71,-79,-76,-92,-80,-74
6472368,-57,-76,-71,-79,-76,-92,-80,-74
6477697,-58,-77,-73,-78,-76,-93,-78,-73
6487025,-58,-80,-74,-79,-74,-95,-81,-76
6492352,-58,-76,-72,-81,-76,-92,-80,-70
6497681,-57,-75,-73,-79,-77,-92,-78,-78
6497681,-57,-75,-73,-79,-77,-92,-78,-78
6503010,-59,-79,-74,-79,-75,-94,-79,-74
6512338,-58,-76,-74,-78,-69,-92,-80,-74
6517666,-58,-76,-73,-78,-74,-92,-78,-74
6517666,-58,-76,-73,-78,-74,-92,-78,-74
6522996,-59,-76,-74,-79,-78,-97,-80,-74
6532324,-58,-85,-75,-79,-70,-94,-79,-73
6537653,-58,-77,-72,-79,-78,-95,-77,-74
6542982,-68,-72,-74,-77,-76,-90,-78,-73
6542982,-68,-72,-74,-77,-76,-90,-78,-73
6548311,-58,-77,-79,-79,-76,-94,-79,-74
6557642,-56,-77,-73,-77,-70,-93,-79,-75
6562970,-58,-74,-73,-81,-76,-93,-78,-72
6562970,-58,-74,-73,-81,-76,-93,-78,-72
