timestamp,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8
7149934,-66,-85,-60,-89,-76,-72,-56,-85
7155265,-67,-83,-59,-89,-76,-78,-56,-78
7160594,-67,-88,-60,-89,-74,-73,-56,-78
7160594,-67,-88,-60,-89,-74,-73,-56,-78
7165921,-66,-83,-63,-92,-75,-72,-56,-78
7175249,-67,-82,-60,-91,-77,-74,-56,-78
7180576,-68,-83,-60,-92,-78,-74,-57,-78
7180576,-68,-83,-60,-92,-78,-74,-57,-78
7185904,-66,-83,-59,-92,-73,-79,-58,-81
7195233,-66,-82,-59,-93,-74,-73,-64,-81
7200561,-66,-81,-63,-91,-75,-71,-56,-81
7200561,-66,-81,-63,-91,-75,-71,-56,-81
7205889,-66,-83,-59,-88,-72,-73,-56,-78
7215219,-67,-83,-60,-89,-74,-79,-59,-79
7220547,-67,-83,-60,-88,-74,-68,-58,-79
7225876,-67,-87,-59,-87,-76,-72,-58,-78
7231204,-68,-86,-60,-88,-74,-79,-58,-79
7236533,-67,-86,-60,-86,-72,-79,-58,-79
7241860,-67,-85,-60,-88,-77,-71,-58,-78
7241860,-67,-85,-60,-88,-77,-71,-58,-78
7247191,-66,-84,-72,-89,-74,-79,-58,-77
7256522,-66,-84,-59,-84,-73,-72,-58,-78
7261852,-68,-84,-59,-90,-70,-71,-55,-78
7261852,-68,-84,-59,-90,-70,-71,-55,-78
7267186,-68,-79,-59,-88,-79,-71,-58,-78
7276517,-68,-80,-60,-87,-76,-78,-58,-78
7281844,-67,-81,-61,-86,-73,-70,-57,-77
7281844,-67,-81,-61,-86,-73,-70,-57,-77
7287171,-69,-77,-59,-91,-74,-71,-57,-79
7296499,-69,-82,-60,-89,-75,-70,-59,-79
7301833,-68,-82,-60,-87,-72,-82,-58,-79
7301833,-68,-82,-60,-87,-72,-82,-58,-79
7307161,-68,-80,-62,-90,-73,-69,-57,-79
7316492,-69,-83,-59,-88,-74,-70,-59,-78
7321821,-67,-82,-60,-89,-73,-71,-59,-78
7327152,-67,-83,-61,-89,-74,-72,-59,-78
7327152,-67,-83,-61,-89,-74,-72,-59,-78
7332480,-66,-81,-61,-91,-72,-71,-58,-79
7341808,-68,-85,-60,-88,-73,-71,-61,-79
7347135,-66,-82,-60,-90,-75,-71,-59,-78
7352464,-66,-83,-60,-88,-74,-71,-59,-78
7352464,-66,-83,-60,-88,-74,-71,-59,-78
7357795,-68,-82,-62,-89,-72,-73,-57,-79
7367124,-69,-82,-61,-91,-73,-73,-60,-78
7372454,-67,-83,-59,-88,-77,-73,-59,-79
7372454,-67,-83,-59,-88,-77,-73,-59,-79
7377785,-69,-82,-60,-87,-71,-73,-58,-78
7387113,-68,-86,-59,-87,-77,-73,-58,-77
7392441,-66,-86,-59,-88,-76,-69,-58,-77
7397774,-69,-82,-59,-89,-73,-73,-56,-79
7397774,-69,-82,-59,-89,-73,-73,-56,-79
7403104,-67,-84,-57,-84,-78,-73,-58,-81
7403104,-67,-84,-57,-84,-78,-73,-58,-81
7413434,-67,-83,-59,-87,-76,-74,-58,-79
7422762,-67,-85,-60,-88,-73,-71,-58,-81
7428092,-67,-83,-59,-89,-75,-72,-58,-77
7433421,-67,-85,-58,-92,-68,-80,-59,-81
